,office,ts_id
202,LRL,Boston.Stage.Inst.15Minutes.0.LRGS-rev
203,LRL,Boston.Stage.Inst.15Minutes.0.USGS-raw
204,LRL,Boston.Stage.Inst.15Minutes.0.USGS-rev
205,LRL,ALVK2.Flow-Local.Inst.6Hours.0.OHRFC-0hrQPF
206,LRL,ALVK2.Flow-Local.Inst.6Hours.0.OHRFC-48hrQPF
207,LRL,ALVK2.Flow-Local.Inst.6Hours.0.OHRFC-operQPF
208,LRL,ALVK2.Flow.Inst.6Hours.0.OHRFC-0hrQPF
209,LRL,ALVK2.Flow.Inst.6Hours.0.OHRFC-48hrQPF
210,LRL,ALVK2.Flow.Inst.6Hours.0.OHRFC-operQPF
211,LRL,ALVK2S.Flow.Inst.6Hours.0.OHRFC-0hrQPF
212,LRL,ALVK2S.Flow.Inst.6Hours.0.OHRFC-48hrQPF
213,LRL,ALVK2S.Flow.Inst.6Hours.0.OHRFC-operQPF
242,LRL,Cairo-CIRI2.Elev.Inst.6Hours.0.LMRFC-fct-0QPF
243,LRL,Cairo-CIRI2.Elev.Inst.6Hours.0.LMRFC-fct-48QPF
244,LRL,Cairo-CIRI2.Stage.Inst.6Hours.0.LMRFC-fct-0QPF
245,LRL,Cairo-CIRI2.Stage.Inst.6Hours.0.LMRFC-fct-48QPF
246,LRL,Cairo.Elev.Inst.1Hour.0.USGS-rev
247,LRL,Cairo.Precip.Inst.1Hour.0.LRGS-raw
248,LRL,Cairo.Stage.Inst.1Hour.0.LRGS-raw
249,LRL,Cairo.Stage.Inst.1Hour.0.LRGS-rev
250,LRL,Cairo.Stage.Inst.1Hour.0.USGS-raw
251,LRL,Cairo.Stage.Inst.1Hour.0.USGS-rev
252,LRL,Newburgh-NBGI3.Flow-Total.Inst.0.0.LPMS-comp
253,LRL,Newburgh-NBGI3.Flow-Total.Inst.0.0.LPMS-comp-SOModC
254,LRL,Newburgh-NBGI3.Flow-Total.Inst.0.0.LPMS-comp-USGS
255,LRL,Newburgh-NBGI3.Opening-Gate-Total.Inst.0.0.LPMS-raw
256,LRL,Newburgh-NBGI3.Stage-Headwater.Inst.0.0.LPMS-raw
257,LRL,Newburgh-NBGI3.Stage-Headwater.Inst.1Day.0.LPMS-comp
258,LRL,Newburgh-NBGI3.Stage-Tailwater.Inst.0.0.LPMS-raw
259,LRL,Newburgh-NBGI3.Stage-Tailwater.Inst.1Day.0.LPMS-comp
260,LRL,Newburgh.Precip.Inst.15Minutes.0.LRGS-raw
261,LRL,Newburgh.Precip.Total.15Minutes.15Minutes.USGS-raw
262,LRL,Newburgh.Precip.Total.15Minutes.15Minutes.USGS-rev
