office,ts_id
LRL,Buckhorn.Flow-BP2.Inst.0.0.lrldlb-comp
LRL,Buckhorn.Flow-BP2.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Flow-Inflow.Ave.1Hour.1Hour.lrldlb-comp
LRL,Buckhorn.Flow-Inflow.Ave.1Hour.6Hours.lrldlb-comp
LRL,Buckhorn.Flow-Inflow.Inst.1Hour.0.National-CWMS-Forecast
LRL,Buckhorn.Flow-MG1.Inst.0.0.lrldlb-comp
LRL,Buckhorn.Flow-MG1.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Flow-Outflow.Ave.1Hour.1Hour.lrldlb-comp
LRL,Buckhorn.Flow-Outflow.Inst.0.0.lrldlb-comp
LRL,Buckhorn.Flow-Outflow.Inst.1Hour.0.LRL-cavi-fct
LRL,Buckhorn.Flow-Outflow.Inst.1Hour.0.National-CWMS-Forecast
LRL,Buckhorn.Flow-Outflow.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Flow-Outflow.Inst.~1Day.0.LRL-cavi-fct
LRL,Buckhorn.Opening-BP1.Inst.0.0.lrldlb-fct
LRL,Buckhorn.Opening-BP1.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Opening-BP1.Inst.0.0.lrldlb-rev
LRL,Buckhorn.Opening-BP1.Inst.0.0.radar-test
LRL,Buckhorn.Opening-BP1.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Opening-BP2.Inst.0.0.lrldlb-fct
LRL,Buckhorn.Opening-BP2.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Opening-BP2.Inst.0.0.lrldlb-rev
LRL,Buckhorn.Opening-BP2.Inst.0.0.radar-test
LRL,Buckhorn.Opening-BP2.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Opening-L1.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Opening-L1.Inst.0.0.lrldlb-rev
LRL,Buckhorn.Opening-L1.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Opening-L2.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Opening-L2.Inst.0.0.lrldlb-rev
LRL,Buckhorn.Opening-L2.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Opening-MG1.Inst.0.0.lrldlb-fct
LRL,Buckhorn.Opening-MG1.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Opening-MG1.Inst.0.0.lrldlb-rev
LRL,Buckhorn.Opening-MG1.Inst.0.0.radar-test
LRL,Buckhorn.Opening-MG1.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Opening-MG2.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Opening-MG2.Inst.0.0.lrldlb-rev
LRL,Buckhorn.Opening-MG2.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Precip-Loss.Inst.1Hour.0.National-CWMS-Forecast
LRL,Buckhorn.Precip.Inst.15Minutes.0.LRGS-raw
LRL,Buckhorn.Precip.Inst.1Hour.0.National-CWMS-Forecast
LRL,Buckhorn.Precip.Total.1Hour.1Hour.Openweather
LRL,Buckhorn.Precip.Total.~1Day.1Day.lrldlb-raw
LRL,Buckhorn.Precip.Total.~1Day.1Day.lrldlb-rev
LRL,Buckhorn.Precip.Total.~1Day.1Day.radar-test
LRL,Buckhorn.Stage-Tailwater.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Stage-Tailwater.Inst.0.0.radar-test
LRL,Buckhorn.Stage.Inst.15Minutes.0.LRGS-raw
LRL,Buckhorn.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Buckhorn.Stor.Inst.1Hour.0.lrldlb-comp
LRL,Olmsted-OLMI2.Elev-Headwater.Inst.15Minutes.0.USGS-comp
LRL,Olmsted-OLMI2.Elev-Tailwater.Inst.15Minutes.0.USGS-comp
LRL,Olmsted-OLMI2.Flow.Ave.15Minutes.15Minutes.USGS-raw
LRL,Olmsted-OLMI2.Flow.Ave.15Minutes.15Minutes.USGS-rev
LRL,Olmsted-OLMI2.Opening-Gate-Average.Inst.1Hour.0.LPMS-comp
LRL,Olmsted-OLMI2.Opening-Gate-Total.Inst.0.0.LPMS-raw
LRL,Olmsted-OLMI2.Precip.Total.0.1Day.LPMS-raw
LRL,Olmsted-OLMI2.Precip.Total.15Minutes.15Minutes.USGS-raw
LRL,Olmsted-OLMI2.Precip.Total.15Minutes.15Minutes.USGS-rev
LRL,Olmsted-OLMI2.Stage-Headwater.Inst.0.0.LPMS-raw
LRL,Olmsted-OLMI2.Stage-Headwater.Inst.15Minutes.0.USGS-raw
LRL,Olmsted-OLMI2.Stage-Headwater.Inst.15Minutes.0.USGS-rev
LRL,Olmsted-OLMI2.Stage-Headwater.Inst.1Day.0.LPMS-comp
LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.0.0.LPMS-raw
LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.15Minutes.0.USGS-raw
LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.15Minutes.0.USGS-rev
LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.1Day.0.LPMS-comp
LRL,Olmsted-OLMI2.Temp-Air.Inst.0.0.LPMS-raw
LRL,Olmsted-OLMI2.Temp-Water.Inst.0.0.LPMS-raw
LRL,Olmsted-OLMI2.Temp-Water.Inst.15Minutes.0.USGS-raw
LRL,Olmsted-OLMI2.Temp-Water.Inst.15Minutes.0.USGS-rev
LRL,Olmsted-TW.Stage.Inst.15Minutes.0.USGS-raw
LRL,Olmsted-TW.Stage.Inst.15Minutes.0.USGS-rev
LRL,Olmsted.Flow.Ave.15Minutes.15Minutes.USGS-raw
LRL,Olmsted.Flow.Ave.15Minutes.15Minutes.USGS-rev
LRL,Olmsted.Precip.Total.15Minutes.15Minutes.USGS-raw
LRL,Olmsted.Precip.Total.15Minutes.15Minutes.USGS-rev
LRL,Olmsted.Stage-Tailwater.Inst.15Minutes.0.LRGS-raw
LRL,Olmsted.Stage-Tailwater.Inst.15Minutes.0.LRGS-rev
LRL,OlmstedUpr.Stage.Inst.15Minutes.0.LRGS-raw
LRL,OlmstedUpr.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Taylorsville.Elev.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Elev.Inst.0.0.lrldlb-rev
LRL,Taylorsville.Elev.Inst.15Minutes.0.LRGS-raw
LRL,Taylorsville.Elev.Inst.15Minutes.0.LRGS-rev
LRL,Taylorsville.Elev.Inst.1Hour.0.LRL-cavi-fct
LRL,Taylorsville.Elev.Inst.1Hour.0.National-CWMS-Forecast
LRL,Taylorsville.Elev.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Elev.Inst.~1Day.0.LRL-cavi-fct
LRL,Taylorsville.Flow-BP1.Inst.0.0.lrldlb-comp
LRL,Taylorsville.Flow-BP1.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Flow-BP2.Inst.0.0.lrldlb-comp
LRL,Taylorsville.Flow-BP2.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Flow-Inflow.Ave.1Hour.1Hour.lrldlb-comp
LRL,Taylorsville.Flow-Inflow.Ave.1Hour.6Hours.lrldlb-comp
LRL,Taylorsville.Flow-Inflow.Inst.1Hour.0.National-CWMS-Forecast
LRL,Taylorsville.Flow-MG1.Inst.0.0.lrldlb-comp
LRL,Taylorsville.Flow-MG1.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Flow-MG2.Inst.0.0.lrldlb-comp
LRL,Taylorsville.Flow-MG2.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Flow-Outflow.Ave.1Hour.1Hour.lrldlb-comp
LRL,Taylorsville.Flow-Outflow.Inst.0.0.lrldlb-comp
LRL,Taylorsville.Flow-Outflow.Inst.1Hour.0.LRL-cavi-fct
LRL,Taylorsville.Flow-Outflow.Inst.1Hour.0.National-CWMS-Forecast
LRL,Taylorsville.Flow-Outflow.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Flow-Outflow.Inst.~1Day.0.LRL-cavi-fct
LRL,Taylorsville.Flow.Inst.15Minutes.0.USGS-raw
LRL,Taylorsville.Flow.Inst.15Minutes.0.USGS-rev
LRL,Taylorsville.Opening-BP1.Inst.0.0.lrldlb-fct
LRL,Taylorsville.Opening-BP1.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Opening-BP1.Inst.0.0.lrldlb-rev
LRL,Taylorsville.Opening-BP1.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Opening-BP2.Inst.0.0.lrldlb-fct
LRL,Taylorsville.Opening-BP2.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Opening-BP2.Inst.0.0.lrldlb-rev
LRL,Taylorsville.Opening-BP2.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Opening-L1.Inst.0.0.lrldlb-fct
LRL,Taylorsville.Opening-L1.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Opening-L1.Inst.0.0.lrldlb-rev
LRL,Taylorsville.Opening-L1.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Opening-L2.Inst.0.0.lrldlb-fct
LRL,Taylorsville.Opening-L2.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Opening-L2.Inst.0.0.lrldlb-rev
LRL,Taylorsville.Opening-L2.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Opening-MG1.Inst.0.0.lrldlb-fct
LRL,Taylorsville.Opening-MG1.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Opening-MG1.Inst.0.0.lrldlb-rev
LRL,Taylorsville.Opening-MG1.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Opening-MG2.Inst.0.0.lrldlb-fct
LRL,Taylorsville.Opening-MG2.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Opening-MG2.Inst.0.0.lrldlb-rev
LRL,Taylorsville.Opening-MG2.Inst.1Hour.0.lrldlb-comp
LRL,Taylorsville.Stage-Tailwater.Inst.0.0.lrldlb-raw
LRL,Taylorsville.Stage.Inst.15Minutes.0.USGS-raw
LRL,Taylorsville.Stage.Inst.15Minutes.0.USGS-rev
LRL,Taylorsville.Stage.Inst.~1Day.0.lrldlb-raw
LRL,Taylorsville.Stage.Inst.~1Day.0.lrldlb-rev
LRL,Taylorsville.Stor.Inst.1Hour.0.lrldlb-comp
